label,wall,floor;flooring,table,chair,cabinet,sofa;couch;lounge,ceiling,windowpane;window,cushion,door;double;door,toilet;can;commode;crapper;pot;potty;stool;throne,painting;picture,curtain;drape;drapery;mantle;pall,lamp,airplane;aeroplane;plane,armchair,bed,shelf,rug;carpet;carpeting,box,hill,traffic;light;traffic;signal;stoplight,plant;flora;plant;life,mirror,truck;motortruck,animal;animate;being;beast;brute;creature;fauna,desk,book,bottle,sculpture,seat,wardrobe;closet;press,ashcan;trash;can;garbage;can;wastebin;ash;bin;ash-bin;ashbin;dustbin;trash;barrel;trash;bin,barrel;cask,fireplace;hearth;open;fireplace,railing;rail,screen;door;screen,waterfall;falls,vase,coffee;table;cocktail;table
albany,0.31841213488634623,0.25230368249606816,0.27127467008816314,0.22740830815693724,0.27747489571959194,0.2636297629821467,0.20289618697204653,0.2177783100395065,0.2193404126714704,0.2489384168629507,0.16170084449927574,0.1787449338860913,0.1356503009157071,0.1756483043283799,0.12062510262471252,0.17295491144271005,0.11005543606500826,0.0998094209285954,0.12548595285920222,0.09769163905692597,0.10913864169697089,0.15644290880764875,0.1223233514778961,0.11915903927042708,0.03539471806456592,0.12003859992209047,0.03832909938420345,0.09932163943206601,0.06534282562947244,0.0936459956404074,0.027076877005291287,0.05245632498201236,0.08381446280244975,0.04605015458459018,0.05157405544385309,0.06757730970391908,0.05842204611363018,0.03574683438987837,0.06373452994050854,0.058354428664749075
amritsar,0.2845590850303315,0.26704704522574624,0.14191881842651316,0.1641988563824428,0.23896844076607415,0.2076102642934764,0.2051566169359245,0.17742340750108845,0.2222982917999373,0.1868596656023563,0.1233737762667394,0.20963986630727083,0.19061794376817587,0.0946304216402215,0.30938756330001915,0.08357686059892876,0.2375011090339315,0.21856646506110838,0.0998582154453184,0.15449105988435172,0.13386356207497377,0.07226083326998017,0.08371624216691613,0.14863585709354224,0.11447939824447452,0.08981113049412907,0.040083358776811503,0.061890625915489585,0.05102429552576254,0.06781020395466368,0.018763237248955206,0.08287302356674414,0.030073548077291803,0.0,0.11170510973549827,0.03795551627054697,0.037643313169912526,0.019026443996882816,0.1491860593774492,0.04731662897838671
bakersfield,0.2983477348660062,0.30363979420650533,0.3013476963881826,0.25727400379598164,0.23375417321798367,0.2190202207406516,0.1687712307540109,0.22000386425610732,0.17305009763901097,0.147559494285323,0.14736384638924488,0.18891547845070608,0.12196250107970347,0.16403779524630663,0.15281895731315515,0.19123147487078018,0.11856689811904922,0.09029078569171205,0.1812823308271592,0.1095491195834959,0.08987953353471165,0.14369664719055603,0.10748081627556959,0.12008625542658256,0.03964252003190852,0.13175991604770748,0.10128257700848474,0.06694912308500729,0.0868853370984784,0.09024771660469547,0.03153784980907737,0.0410043921362724,0.06755747518129036,0.07725985371707396,0.07802415116400145,0.04222553389050953,0.0638177119556858,0.15457876250258695,0.03478141514284902,0.051748572627653484
bath,0.29975083327053886,0.2853816522119501,0.25204330253324364,0.24239565623593687,0.27679966295902386,0.2245630041241992,0.22598557928486315,0.19373162031298607,0.23805080693575728,0.20000633966810843,0.19432199664046668,0.21685317216809688,0.1402660373594181,0.1954680368191112,0.1452320285889191,0.15961994510709207,0.042254542821872174,0.11817335325459168,0.1437582423289521,0.09768707735979172,0.1180252301454171,0.11331165232893434,0.11572315009223068,0.1352122874078567,0.08082271869735287,0.060153624698197405,0.0331480058684175,0.08091993553224466,0.07626641349327928,0.03881743773628186,0.01002658356450573,0.04532790996843329,0.04545874255337135,0.11863812199869284,0.12120503063607642,0.035396661601156204,0.03823629564493964,0.07133686247464667,0.04949493321517734,0.05926392320307414
bordeaux,0.2734539376403666,0.2513313756907833,0.2643849791698476,0.2816118023609785,0.23233949833352638,0.20483513737720876,0.2128209071370929,0.16422486937787487,0.19327275613922693,0.1982087134559335,0.18497687597909931,0.23020946420595947,0.11091640168164037,0.25334517243593985,0.13084686945168159,0.1612919232581618,0.15656940633578614,0.19412943724162438,0.06516239264096843,0.17105250024753701,0.0852051926763377,0.09726057413704994,0.10743966961012485,0.11602823148171951,0.06918899117715797,0.103391433700764,0.12877476125590054,0.047358533783580764,0.12003433773364461,0.06889086143508497,0.02403698175583601,0.05360012999799848,0.011069207284499543,0.0805823342814909,0.07971065737759687,0.06186543215096424,0.059331566900513874,0.07826854892431827,0.015794161950307736,0.049949120180622045
canberra,0.2929977024749538,0.2515659960446929,0.28191818052347073,0.2441857908179286,0.25919494335594556,0.2584844977632526,0.19445393180025297,0.21393992288030175,0.24010115510046706,0.22631419168789932,0.21334184757695276,0.18034245672371732,0.08920090034948508,0.15292894850583127,0.12350698455201974,0.14813475564693349,0.11460035339034681,0.0984147621290122,0.11898791695565294,0.11427860598119088,0.09897305146863229,0.0992855229883369,0.13635147686460275,0.062410347999186294,0.16036916902338183,0.15893462932594582,0.056812053510412595,0.0719635319357994,0.10643729396208461,0.10336963946116329,0.06724655782911809,0.06722141917370283,0.06819661005376226,0.05058090407476476,0.0321937521369074,0.03707279137188207,0.022471407878908358,0.10989034633984941,0.011124483860113728,0.10274809874298949
cordoba,0.30027439251912114,0.36723707304710257,0.2759318718868086,0.2867549102860944,0.1819167082424814,0.1879485355874833,0.22471181198640144,0.1819923570110167,0.16915058652355272,0.16379343816205866,0.15031403657720652,0.17616286468345746,0.13902219691770734,0.1738492044593106,0.13192787455444466,0.14681075715204683,0.15267179824674917,0.11207434490511997,0.1401279042653942,0.10035222880601839,0.16791070712148387,0.0649974518032165,0.15837694595243423,0.06579156477118044,0.06664746205684287,0.0608139429488141,0.07582684941421439,0.08119295896900659,0.08113552735879656,0.030893948403359465,0.14024332394574784,0.03297768148586463,0.09944643259096592,0.08614514902534542,0.08370897553928985,0.07011730478682836,0.06159715750295555,0.08468188111674552,0.0112029562307684,0.038855060723325896
denpasar,0.28362051709912983,0.26450232858428624,0.2865988901607637,0.3044398897134053,0.21009027748368286,0.2305893674378205,0.156473297324878,0.2670471350860216,0.218003443780988,0.2322441708024553,0.1486061064319458,0.2087944034882748,0.16516501883357393,0.1550015421543918,0.1589436145332601,0.09437813399077083,0.1380390457655258,0.15246400234653124,0.1075172679844879,0.08414544107052836,0.08732894715350764,0.10134390767056053,0.16670864075914107,0.10908455976412651,0.06991074499668928,0.15215431834865709,0.08464889812785266,0.08572599446958915,0.035336230140683024,0.02496608922200785,0.038784762062298646,0.02367368826435185,0.06166695058064478,0.06259186524285784,0.03859549981243112,0.08390105734542425,0.01712923651092364,0.0932680075995756,0.012410502915143213,0.0577309883018116
eskisehir,0.3081330118242522,0.2642321984600698,0.27613960598249665,0.20068589007066134,0.1902285332270553,0.27746735032952596,0.22045512759454344,0.22049261689931324,0.3067438777144982,0.1561183970277531,0.17857101735267528,0.051465720202262054,0.1990016440717475,0.18332299630116594,0.17507210466781883,0.25277624581803876,0.12276566485858505,0.06190826669678334,0.1801219894459111,0.09404090225732369,0.0917295794429615,0.08008139833113347,0.10568909036047902,0.11075304578426431,0.024540529600723934,0.06096577966171982,0.10128180834545199,0.04116315466086841,0.11869574864839715,0.060440815000418466,0.048722133277371744,0.015112977571728806,0.031903120094400654,0.0741360936504427,0.033428056455771696,0.06623329020406143,0.06263784679254458,0.020830565599535535,0.00017458746147726807,0.0267065119738311
gaborone,0.259634523955114,0.27916893591027747,0.25875092751426515,0.20516152830234208,0.2503300814960812,0.19036800006187438,0.16858429919440673,0.24784370768406716,0.21151837804629994,0.17977216937176632,0.2032219471685711,0.13480441428242307,0.19705372744080815,0.09288568528870877,0.18946716849150402,0.17326032291586574,0.2446084762165476,0.18878266172093605,0.13997184401224236,0.143553237303467,0.13458939121701888,0.11264672941526789,0.10935805633882634,0.10144574986192498,0.08050139622483406,0.10889142732186173,0.03051592066176635,0.05976799486080623,0.06199974286188547,0.03444252554515539,0.08277110757470081,0.05572760119677144,0.05044583395884681,0.1387876466616999,0.03941193334980969,0.030304988746122023,0.05327129234141393,0.05038388534529362,0.0,0.02142384023042722
heidelberg,0.2818312794327981,0.2717399858452555,0.260761149527825,0.21348636331192544,0.2230937274903418,0.24418457368208404,0.19680827911728185,0.15718281257460057,0.23031008451494397,0.1774993984151606,0.15186371118158398,0.1870405701172758,0.13739773225123547,0.2430174340053466,0.18872625204889112,0.10367660881162002,0.17377742354999445,0.18679748543369687,0.20059227568704646,0.08546324642607692,0.1108301855417763,0.1367396819474619,0.1853129934668774,0.12206422871144329,0.05787898820362977,0.133851521261667,0.13531462017844934,0.07851844274366603,0.09451306744425732,0.06662381587011992,0.03461304815786631,0.07960494185216378,0.010182549452329237,0.02215118870677199,0.007192135740351273,0.027316910639733336,0.05938628620706499,0.027103232193675195,0.04381521866409091,0.015164372963728183
hualien,0.26800027671684845,0.3439800362003696,0.2576511755903733,0.2376065064662129,0.23056539415244406,0.20813961607603224,0.1918024267699606,0.20532015015878263,0.12375813809198832,0.24446667333540714,0.2621002465520673,0.05668825165636188,0.20754258856654464,0.06613251511965308,0.21532548473302143,0.15000049891083778,0.1387008896382292,0.12302366281250449,0.1070578381545295,0.13874780955241156,0.07807009300941985,0.06963301132430416,0.11562275440762317,0.10005572534654959,0.08627065810541802,0.19468941364111475,0.13831118571315054,0.06421599883193364,0.0790706616265591,0.014216406433760405,0.04050314200973381,0.09473711367844778,0.0657038099250083,0.09413240881273854,0.005262449170452133,0.05411413229843848,0.03929394707690064,0.030671614865693347,0.0,0.058096117557375135
ibague,0.33460876716684623,0.30627914357291663,0.23945181787782435,0.10912923843523838,0.2363599309191019,0.18293247728588466,0.24319106417476866,0.3143706684131905,0.22636905503987734,0.2993180671834444,0.17433084602966395,0.25623727702201604,0.054944728930386044,0.2691864184417995,0.10672420633352135,0.13611354529069117,0.1520979368445285,0.011673394053742308,0.09796761362566136,0.0,0.0022633406262978417,0.10764663105301198,0.0017684511621379123,0.0536900300132595,0.11607646632638731,0.0,0.08822944832951662,0.05474873656985548,0.06301690372439328,0.06823303025511751,0.053826364071596036,0.08297352532912845,0.0,0.05962752095506763,0.0,0.036182745787462965,0.0249855047943299,0.0,0.0,0.07237512824735011
islamabad,0.29751338805132044,0.3003243569605153,0.2371665797616366,0.16284244366295858,0.24000871100411597,0.188138961384516,0.2229426037636631,0.17160537445966964,0.23304964112436352,0.2572507517602604,0.22089543471896134,0.17434209409614695,0.1813878687156882,0.16994520531083007,0.18749482567178818,0.189501301549428,0.13249363239523299,0.05669983546504321,0.18957623593224204,0.08477217380709148,0.08622384442894436,0.11768005189741633,0.09544291128652878,0.16708041297840823,0.09446569336984127,0.06622539553740003,0.08190065308805565,0.07406840217487032,0.09652834999624828,0.09507010589771395,0.07626774651121714,0.038092332062411256,0.08022462354672033,0.07798580487855733,0.04696852902903941,0.022526994949416373,0.06498329649643814,0.024671137280383438,0.06665932511197063,0.02556619034996119
